tag_id,nome,hora_entrada,hora_saida,tempo_cocho,peso_animal,peso_racao,%,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:37,2025-10-06 17:53:37,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:35,2025-10-06 17:53:35,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:44,2025-10-06 17:53:44,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:50,2025-10-06 17:53:50,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:55,2025-10-06 17:53:55,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:55,2025-10-06 17:53:55,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:01,2025-10-06 17:54:01,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:55,2025-10-06 17:53:55,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:55,2025-10-06 17:53:55,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:01,2025-10-06 17:54:01,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:09,2025-10-06 17:54:09,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:01,2025-10-06 17:54:01,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:09,2025-10-06 17:54:09,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:04,2025-10-06 17:54:04,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:04,2025-10-06 17:54:04,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:16,2025-10-06 17:54:16,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:22,2025-10-06 17:54:22,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:16,2025-10-06 17:54:16,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:18,2025-10-06 17:54:18,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:05,2025-10-06 17:54:05,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:31,2025-10-06 17:54:31,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:36,2025-10-06 17:54:36,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:41,2025-10-06 17:54:41,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:41,2025-10-06 17:54:41,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:54:43,2025-10-06 17:54:43,0m 0s,77.102,-2,,
